TWEET	EMOJI	LANGUAGE
417		fr
418		fr
419		fr
420		fr
421		fr
422	face with open mouth	fr
423	loudly crying face	fr
423	face with tears of joy	fr
424		fr
425		fr
426		fr
427		fr
428		fr
429		fr
430		fr
431		fr
432		fr
433	face with tears of joy	fr
433	face with tears of joy	fr
433	face with tears of joy	fr
433	face with tears of joy	fr
433	face with tears of joy	fr
433	face with tears of joy	fr
434		fr
435		fr
436		fr
437		fr
438		fr
439		fr
440		fr
441		fr
442		fr
443		fr
444		fr
445		fr
446		fr
447		fr
448		fr
449		fr
450		fr
451		fr
452		fr
453		fr
454		fr
455		fr
456		fr
457		fr
458		fr
459	loudly crying face	fr
459	loudly crying face	fr
460		fr
461		fr
462		fr
463		fr
464		fr
465		fr
466		fr
467		fr
468		fr
469		fr
470		fr
471		fr
472	winking face	fr
472	smiling face with smiling eyes	fr
473		fr
474		fr
475		fr
476		fr
477		fr
478		fr
479		fr
480		fr
481		fr
482	person shrugging	fr
482	male sign	fr
483		fr
484		fr
485		fr
486		fr
487		fr
488	right arrow	fr
489		fr
490		fr
491		fr
492		fr
493		fr
494	loudly crying face	fr
494	skull	fr
495		fr
496		fr
497		fr
498		fr
499		fr
500		fr
501		fr
502		fr
503		fr
504		fr
505		fr
506		fr
507		fr
508		fr
509		fr
510	smiling face with heart-eyes	fr
511	face with tears of joy	fr
511	face with tears of joy	fr
511	face with tears of joy	fr
511	face with tears of joy	fr
511	face with tears of joy	fr
512		fr
513		fr
514		fr
515		fr
516		fr
517		fr
518		fr
519		fr
520		fr
521		fr
522		fr
523		fr
524		fr
525		fr
526		fr
527		fr
528		fr
529		fr
530		fr
531		fr
532		fr
533		fr
534		fr
535		fr
536		fr
537		fr
538		fr
539		fr
540		fr
541		fr
542		fr
543	face with tears of joy	fr
543	face with tears of joy	fr
544	face with tears of joy	fr
544	face with tears of joy	fr
545		fr
546		fr
547		fr
548		fr
549		fr
550		fr
551		fr
552		fr
553		fr
554		fr
555	confused face	fr
555	confused face	fr
556		fr
557		fr
558		fr
559		fr
560		fr
561		fr
562		fr
563		fr
564		fr
565		fr
566		fr
567		fr
568	thumbs up	fr
568	flexed biceps	fr
569		fr
570		fr
571		fr
572		fr
573	smiling face with heart-eyes	fr
573	smiling face with heart-eyes	fr
573	smiling face with heart-eyes	fr
574		fr
575		fr
576		fr
577		fr
578		fr
579	face with tears of joy	fr
579	face with tears of joy	fr
579	face with tears of joy	fr
580		fr
581		fr
582		fr
583	smirking face	fr
583	smirking face	fr
